tensor(3.2453, grad_fn=<AddBackward0>)
tensor(3.9479, device='cuda:0', grad_fn=<AddBackward0>)
tensor(3.1789, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2226, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0857, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8230, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8158, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8335, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6895, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5751, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7801, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8910, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7761, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9477, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9327, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7054, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7998, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6587, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5230, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6283, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5642, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4486, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4865, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5679, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4881, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4424, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5426, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5726, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5481, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5602, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5140, device='cuda:0', grad_fn=<AddBackward0>)
tensor(3.1789, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2055, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8476, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7239, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6840, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6909, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7454, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7291, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6484, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8884, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8721, device='cuda:0', grad_fn=<AddBackward0>)
tensor(4.0455, device='cuda:0', grad_fn=<AddBackward0>)
